name,stock,description,price,sale_discount,is_on_sale,image_url,sale_date_end
Puree - Blackcurrant,5,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",55.92,0.64,true,http://dummyimage.com/207x100.png/cc0000/ffffff,5/17/2024
Orange Roughy 6/8 Oz,23,Nulla tellus. In sagittis dui vel nisl.,15.94,0.18,true,http://dummyimage.com/212x100.png/ff4444/ffffff,12/17/2023
Carbonated Water - Blackcherry,593,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",22.78,0.13,false,http://dummyimage.com/237x100.png/cc0000/ffffff,5/5/2024
Pur Source,55,Integer ac neque.,59.15,0.84,true,http://dummyimage.com/228x100.png/cc0000/ffffff,6/4/2024
Rosemary - Fresh,310,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,65.72,0.03,false,http://dummyimage.com/146x100.png/5fa2dd/ffffff,2/4/2024
"Sauce - Soya, Dark",539,Vivamus tortor.,80.39,0.58,true,http://dummyimage.com/238x100.png/dddddd/000000,7/6/2023
Beef Cheek Fresh,976,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,45.74,0.27,true,http://dummyimage.com/106x100.png/cc0000/ffffff,2/15/2024
Cinnamon Rolls,253,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",86.03,0.99,false,http://dummyimage.com/178x100.png/dddddd/000000,6/15/2024
"Pepper - Black, Crushed",156,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",61.62,0.32,true,http://dummyimage.com/207x100.png/ff4444/ffffff,6/16/2023
Compound - Pear,568,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",6.85,0.59,true,http://dummyimage.com/181x100.png/cc0000/ffffff,6/9/2024
Myers Planters Punch,557,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",80.25,0.43,false,http://dummyimage.com/162x100.png/ff4444/ffffff,4/22/2024
"Pasta - Tortellini, Fresh",512,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",72.16,0.42,true,http://dummyimage.com/161x100.png/cc0000/ffffff,2/4/2024
Bread Base - Gold Formel,46,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",89.97,0.71,true,http://dummyimage.com/120x100.png/5fa2dd/ffffff,6/20/2024
Cookie Trail Mix,893,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",41.72,0.53,false,http://dummyimage.com/204x100.png/ff4444/ffffff,9/7/2023
Cheese - Brick With Pepper,690,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",59.26,0.33,true,http://dummyimage.com/120x100.png/cc0000/ffffff,6/20/2024
Soup - Campbells Mac N Cheese,441,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,80.08,0.13,false,http://dummyimage.com/148x100.png/cc0000/ffffff,12/26/2023
Cake - Mini Potato Pancake,625,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",64.18,0.08,false,http://dummyimage.com/199x100.png/5fa2dd/ffffff,1/29/2024
Potatoes - Mini White 3 Oz,506,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,30.29,0.2,true,http://dummyimage.com/124x100.png/dddddd/000000,11/3/2023
"Octopus - Baby, Cleaned",99,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",69.67,0.73,false,http://dummyimage.com/195x100.png/ff4444/ffffff,12/1/2023
Lamb - Loin Chops,879,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",67.01,0.58,false,http://dummyimage.com/155x100.png/dddddd/000000,8/13/2024
"Beef - Tongue, Fresh",222,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",9.46,0.4,true,http://dummyimage.com/122x100.png/cc0000/ffffff,10/4/2023
Muffin Hinge Container 6,976,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,6.92,0.06,false,http://dummyimage.com/203x100.png/5fa2dd/ffffff,9/26/2024
Shrimp - Prawn,151,Donec ut mauris eget massa tempor convallis.,8.35,0.72,true,http://dummyimage.com/168x100.png/dddddd/000000,8/27/2024
Parsnip,260,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",60.32,0.31,false,http://dummyimage.com/134x100.png/5fa2dd/ffffff,8/22/2023
"Turkey - Breast, Smoked",343,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,48.4,0.57,true,http://dummyimage.com/134x100.png/ff4444/ffffff,11/14/2023
"Bread - Pita, Mini",222,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",41.95,0.77,true,http://dummyimage.com/170x100.png/ff4444/ffffff,7/22/2024
Pepper - Cayenne,976,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",24.4,0.74,false,http://dummyimage.com/199x100.png/ff4444/ffffff,3/25/2024
The Pop Shoppe - Cream Soda,939,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",33.81,0.03,true,http://dummyimage.com/131x100.png/cc0000/ffffff,12/6/2023
Beer - Heinekin,280,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",66.85,0.1,true,http://dummyimage.com/247x100.png/cc0000/ffffff,7/21/2023
Cookie Dough - Oatmeal Rasin,284,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",72.59,0.7,true,http://dummyimage.com/249x100.png/cc0000/ffffff,10/13/2023
Remy Red,826,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",93.88,0.88,true,http://dummyimage.com/121x100.png/5fa2dd/ffffff,12/17/2023
Wine - Domaine Boyar Royal,447,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",26.72,0.27,true,http://dummyimage.com/142x100.png/cc0000/ffffff,7/17/2024
Yoplait Drink,191,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",84.72,0.33,false,http://dummyimage.com/174x100.png/cc0000/ffffff,3/25/2024
Bread - Sour Batard,504,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",31.3,0.44,false,http://dummyimage.com/211x100.png/ff4444/ffffff,2/6/2024
Wine - Ice Wine,275,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",82.04,0.05,false,http://dummyimage.com/199x100.png/cc0000/ffffff,7/4/2023
Squid Ink,631,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",27.39,0.09,true,http://dummyimage.com/231x100.png/5fa2dd/ffffff,8/5/2024
Mousse - Mango,969,Nulla mollis molestie lorem.,65.92,0.27,false,http://dummyimage.com/207x100.png/5fa2dd/ffffff,9/23/2024
Milk 2% 500 Ml,168,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",66.95,0.87,false,http://dummyimage.com/153x100.png/dddddd/000000,4/20/2024
Meldea Green Tea Liquor,877,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,45.84,0.41,true,http://dummyimage.com/108x100.png/cc0000/ffffff,8/1/2023
Pastry - Butterscotch Baked,838,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",30.21,0.62,true,http://dummyimage.com/216x100.png/5fa2dd/ffffff,9/7/2024
Plasticspoonblack,347,In hac habitasse platea dictumst.,50.13,0.65,true,http://dummyimage.com/169x100.png/dddddd/000000,2/1/2024
"Pork - Loin, Boneless",49,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",65.74,0.7,false,http://dummyimage.com/238x100.png/ff4444/ffffff,1/10/2024
V8 Pet,454,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",65.83,0.79,true,http://dummyimage.com/108x100.png/dddddd/000000,4/28/2024
"Mushroom - Morels, Dry",388,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",79.52,0.54,false,http://dummyimage.com/109x100.png/ff4444/ffffff,7/29/2023
Fennel,702,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.",51.67,0.45,true,http://dummyimage.com/178x100.png/cc0000/ffffff,7/19/2024
Muffin Batt - Choc Chk,611,Aenean lectus.,75.99,0.27,true,http://dummyimage.com/240x100.png/ff4444/ffffff,8/12/2024
"Beef - Rouladin, Sliced",663,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",55.95,0.8,true,http://dummyimage.com/164x100.png/cc0000/ffffff,9/26/2024
Sambuca - Ramazzotti,710,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.",63.53,0.0,false,http://dummyimage.com/123x100.png/ff4444/ffffff,7/6/2024
"Wine - Red, Mosaic Zweigelt",647,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",46.31,0.67,true,http://dummyimage.com/229x100.png/dddddd/000000,8/26/2024
Flour - Bread,644,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,42.3,0.59,true,http://dummyimage.com/228x100.png/ff4444/ffffff,11/28/2023
Absolut Citron,369,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",88.71,0.32,false,http://dummyimage.com/225x100.png/5fa2dd/ffffff,6/6/2024
Vector Energy Bar,604,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",64.42,0.14,false,http://dummyimage.com/231x100.png/cc0000/ffffff,10/30/2023
Hold Up Tool Storage Rack,506,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,62.09,0.7,false,http://dummyimage.com/208x100.png/cc0000/ffffff,7/15/2023
Pike - Frozen Fillet,705,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",72.27,0.77,true,http://dummyimage.com/136x100.png/dddddd/000000,3/23/2024
Emulsifier,573,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",29.01,0.77,false,http://dummyimage.com/108x100.png/dddddd/000000,8/5/2023
"Mushroom - Chantrelle, Fresh",72,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",42.49,0.13,false,http://dummyimage.com/111x100.png/5fa2dd/ffffff,7/29/2024
Wine - Fat Bastard Merlot,466,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",95.13,0.19,true,http://dummyimage.com/180x100.png/cc0000/ffffff,1/18/2024
Flower - Leather Leaf Fern,968,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,89.53,0.63,false,http://dummyimage.com/134x100.png/ff4444/ffffff,9/1/2024
Creme De Cacao White,326,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",8.9,0.41,true,http://dummyimage.com/170x100.png/ff4444/ffffff,7/13/2024
Nut - Pumpkin Seeds,538,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",4.19,0.26,false,http://dummyimage.com/135x100.png/ff4444/ffffff,9/6/2023
Onions Granulated,26,Etiam justo. Etiam pretium iaculis justo.,63.53,0.87,true,http://dummyimage.com/200x100.png/dddddd/000000,6/11/2024
Bread - Hamburger Buns,898,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",43.69,0.98,false,http://dummyimage.com/129x100.png/dddddd/000000,8/22/2023
"Shrimp - Baby, Cold Water",996,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.",74.45,0.02,true,http://dummyimage.com/188x100.png/5fa2dd/ffffff,4/6/2024
"Rum - Coconut, Malibu",372,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",2.08,0.15,true,http://dummyimage.com/249x100.png/ff4444/ffffff,5/25/2024
"Salmon - Whole, 4 - 6 Pounds",668,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",78.59,0.82,true,http://dummyimage.com/178x100.png/ff4444/ffffff,5/20/2024
Capon - Whole,26,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,44.91,0.91,false,http://dummyimage.com/209x100.png/dddddd/000000,3/8/2024
"Wine - White, Cooking",592,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",96.98,0.47,true,http://dummyimage.com/171x100.png/5fa2dd/ffffff,3/25/2024
"Wine - Magnotta, White",636,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,42.49,0.09,true,http://dummyimage.com/141x100.png/dddddd/000000,7/4/2024
Alize Sunset,537,Aliquam non mauris.,27.08,0.48,true,http://dummyimage.com/128x100.png/cc0000/ffffff,2/22/2024
"Cheese - Cheddar, Mild",670,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,28.59,0.69,true,http://dummyimage.com/151x100.png/cc0000/ffffff,3/15/2024
Foam Tray S2,214,Suspendisse accumsan tortor quis turpis. Sed ante.,9.33,0.82,true,http://dummyimage.com/235x100.png/5fa2dd/ffffff,6/16/2024
Crawfish,201,Phasellus in felis. Donec semper sapien a libero.,93.97,0.25,true,http://dummyimage.com/113x100.png/dddddd/000000,12/7/2023
Shopper Bag - S - 4,949,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",50.95,0.87,false,http://dummyimage.com/194x100.png/dddddd/000000,1/26/2024
Salt And Pepper Mix - Black,297,Cras pellentesque volutpat dui.,62.31,0.91,false,http://dummyimage.com/243x100.png/cc0000/ffffff,8/26/2024
Buffalo - Short Rib Fresh,797,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",5.19,0.47,true,http://dummyimage.com/248x100.png/5fa2dd/ffffff,7/25/2023
"Coffee - Colombian, Portioned",60,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",80.59,0.31,false,http://dummyimage.com/197x100.png/cc0000/ffffff,11/30/2023
Wine - Chateauneuf Du Pape,738,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,2.69,0.1,false,http://dummyimage.com/197x100.png/dddddd/000000,10/23/2023
